table_id,claim_location,metric,environment,num_nodes,protocol,v19_value,canonical_file,canonical_key,canonical_value,rounding,match,severity,note
tab:pdr100,S5.1 L111,pdr_mean,indoor_office,100,AERIS,0.9739,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_office, config=full, protocol=AERIS",0.973904,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_factory,100,AERIS,0.6031,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_factory, config=full, protocol=AERIS",0.603100,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_urban,100,AERIS,0.3745,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_urban, config=full, protocol=AERIS",0.374500,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_suburban,100,AERIS,0.7451,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_suburban, config=full, protocol=AERIS",0.745100,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_office,100,LEACH,0.5543,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_office, protocol=LEACH",0.554300,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_factory,100,LEACH,0.1614,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_factory, protocol=LEACH",0.161400,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_urban,100,LEACH,0.0552,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_urban, protocol=LEACH",0.055200,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_suburban,100,LEACH,0.2703,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_suburban, protocol=LEACH",0.270300,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_office,100,PEGASIS,0.9078,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_office, protocol=PEGASIS",0.907800,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_factory,100,PEGASIS,0.1928,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_factory, protocol=PEGASIS",0.192800,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_urban,100,PEGASIS,0.0542,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_urban, protocol=PEGASIS",0.054200,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,outdoor_suburban,100,PEGASIS,0.3382,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=outdoor_suburban, protocol=PEGASIS",0.338200,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_office,100,HEED,0.9371,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_office, protocol=HEED",0.937100,4dp,YES,,n=30 regime
tab:pdr100,S5.1 L111,pdr_mean,indoor_factory,100,HEED,0.2326,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"environment=indoor_factory, protocol=HEED",0.232600,4dp,YES,,n=30 regime
